1,52,338
1,92,919
1,2,350
1,49,253
2,9,976
2,11,176
2,38,829
2,15,737
3,63,821
3,65,798
3,10,171
4,55,321
4,35,408
5,33,856
5,14,230
5,83,723
5,78,364
5,43,245
5,91,187
5,95,965
5,26,22
5,57,737
5,41,886
6,94,112
6,64,222
6,30,394
6,40,279
6,53,230
6,81,164
6,25,623
6,100,422
6,23,847
7,12,595
7,54,998
7,87,336
7,45,860
7,18,704
7,48,542
7,44,874
8,28,269
8,17,788
9,42,643
9,86,487
9,84,948
9,99,919
9,89,707
9,66,73
9,36,380
10,75,54
10,74,877
10,13,230
10,97,448
10,46,866
10,47,500
10,82,436
10,59,406
10,56,178
11,20,866
11,29,898
11,70,819
11,32,284
11,16,856
11,22,695
12,90,437
12,79,37
12,72,920
12,96,18
12,98,323
12,27,105
12,68,105
12,93,338
12,71,731
13,58,229
13,39,588
13,62,248
14,69,388
14,51,781
14,85,555
14,77,159
14,88,506
14,37,150
15,61,630
15,34,216
15,31,32
15,19,945
16,21,94
16,80,461
16,76,750
16,60,608
17,46,278
17,50,10
17,28,567
17,27,509
17,25,327
17,85,165
17,58,494
18,55,305
18,29,501
18,47,955
18,42,984
18,45,76
18,64,28
18,97,291
19,61,84
19,43,356
19,81,573
19,74,229
20,24,164
20,67,816
21,31,805
21,68,572
21,93,214
23,56,592
23,92,460
24,65,506
24,99,846
24,57,420
24,71,331
24,91,872
24,90,39
25,84,979
25,83,741
25,75,760
25,62,129
25,69,985
25,44,116
25,63,308
25,38,630
26,34,352
26,40,106
26,80,831
26,35,739
26,87,241
26,54,108
26,51,200
26,52,897
27,98,981
27,94,566
27,41,780
27,100,291
27,89,909
27,78,147
27,49,5
27,59,35
29,73,296
31,76,431
31,67,530
32,73,147
32,39,179
33,36,951
33,22,116
33,66,52
33,30,313
33,77,909
33,82,507
33,96,772
34,86,514
34,48,641
34,88,332
34,70,634
34,50,718
34,72,445
35,45,718
35,54,965
35,64,863
35,8,990
35,37,302
35,65,502
35,88,9
36,60,148
36,95,190
36,79,984
36,53,478
37,59,50
37,93,269
37,70,676
37,71,423
41,91,891
41,62,219
41,79,604
42,52,897
42,30,290
42,4,972
42,43,335
43,69,261
43,38,934
43,72,764
43,75,583
43,48,872
44,67,736
44,98,8
44,90,324
45,99,256
45,68,593
45,89,751
45,49,497
45,57,682
46,84,740
46,39,147
46,100,565
47,51,490
47,56,632
47,60,318
47,94,544
47,53,801
47,97,677
48,74,534
48,50,675
48,40,832
48,83,119
48,87,952
49,82,721
50,76,521
51,63,323
51,28,862
51,78,398
51,73,127
52,95,912
52,96,686
53,92,608
53,22,29
53,66,548
53,58,279
54,85,980
54,61,701
54,81,919
54,77,694
54,80,965
55,71,743
55,29,610
55,56,33
56,85,983
56,94,221
56,73,165
56,91,640
56,99,603
57,8,293
57,62,574
57,88,460
57,59,492
57,74,515
57,93,876
57,81,638
58,76,137
58,82,787
58,83,140
58,38,300
58,65,902
58,69,649
58,32,872
59,63,884
59,39,238
59,61,393
60,84,695
60,68,915
62,86,542
63,89,498
63,22,248
63,75,999
63,92,893
63,77,144
63,64,73
64,79,836
65,40,812
66,78,834
66,87,872
66,67,297
66,98,149
67,80,253
67,23,170
67,95,116
67,28,685
67,86,421
67,97,613
68,90,966
68,20,443
68,4,200
68,72,403
69,96,612
69,3,975
69,100,724
69,70,264
70,13,146
70,22,465
70,85,958
70,38,84
70,1,991
70,40,892
71,76,879
71,92,447
71,31,937
72,30,807
73,20,225
73,79,517
73,80,491
73,99,341
73,95,961
73,89,978
74,87,602
74,32,627
74,49,439
74,3,680
74,78,389
74,82,6
75,30,806
75,77,397
75,100,6
77,93,795
77,84,514
77,21,488
77,39,498
78,98,816
78,88,117
79,86,340
79,23,945
79,4,173
79,96,891
81,61,809
81,94,691
81,97,249
81,83,738
82,28,642
82,90,124
82,50,85
82,29,16
83,93,15
83,3,122
83,89,501
83,97,644
86,16,57
86,21,725
86,96,260
87,4,388
87,32,596
87,64,81
87,85,354
88,8,67
88,91,484
90,76,722
90,19,889
91,39,505
92,2,802
92,38,244
92,80,422
92,55,475
92,29,258
94,22,778
94,46,985
94,62,404
94,95,206
95,40,655
95,60,381
95,72,433
96,8,452
97,49,905
97,15,732
97,23,469
98,1,426
98,41,391
98,13,600
99,84,666
99,44,217
100,30,691
