1,34,39
1,100,91
1,76,27
1,98,16
1,97,40
1,43,27
1,12,16
1,25,29
1,31,31
1,9,57
2,72,9
2,64,87
3,61,62
3,87,38
3,59,3
3,48,64
3,95,98
3,23,34
3,79,86
4,53,85
4,63,43
4,35,56
4,13,8
5,39,20
5,51,78
6,16,16
6,14,56
6,93,67
6,83,67
6,99,36
6,36,30
6,33,27
6,38,58
6,15,86
6,62,63
7,70,18
7,8,44
7,67,14
7,10,45
7,20,87
7,58,76
7,65,91
7,55,77
7,44,86
8,75,97
9,84,98
9,74,69
9,17,49
10,30,91
10,60,27
10,29,56
10,21,40
10,78,7
10,27,92
10,46,34
10,52,8
10,91,81
11,47,31
11,96,12
11,77,73
11,71,82
11,22,48
11,90,87
12,66,21
12,32,84
12,86,37
12,24,83
12,80,46
12,19,18
13,49,37
13,73,33
13,56,27
13,28,31
13,50,4
13,94,41
13,45,90
14,92,78
14,85,7
14,37,51
14,57,57
16,40,38
16,82,95
16,41,80
16,42,45
16,69,20
16,89,58
17,54,49
17,52,91
17,63,86
17,96,71
17,20,29
17,59,7
17,38,80
17,60,54
17,18,9
18,88,93
18,68,69
19,26,99
19,81,20
20,42,67
20,69,31
21,51,77
21,72,87
21,79,44
21,33,40
21,91,88
21,23,67
21,70,66
22,35,1
22,83,17
22,40,88
22,36,77
22,43,97
22,24,53
22,37,19
22,80,66
22,93,57
23,92,84
23,57,48
23,26,62
23,15,48
23,34,97
23,29,43
23,100,92
23,56,57
25,86,74
25,53,88
25,88,12
25,75,81
25,54,10
25,89,60
25,87,14
25,82,62
26,65,6
28,32,90
28,45,13
28,30,18
28,74,1
28,68,38
29,85,98
29,62,98
29,94,14
30,41,39
30,73,16
30,71,38
31,90,14
31,44,52
31,39,35
31,50,88
31,77,63
31,95,16
31,81,43
31,98,91
32,78,20
32,48,99
32,66,42
32,84,24
32,76,52
32,27,53
32,47,89
32,46,96
33,49,63
33,55,62
33,67,16
33,99,42
33,61,41
33,97,14
33,58,35
33,64,7
34,42,50
34,52,30
34,83,30
34,87,4
34,54,62
35,96,67
35,62,20
35,36,49
35,98,72
35,56,18
36,94,6
36,89,44
36,5,65
36,45,26
36,47,25
36,72,60
37,24,86
37,86,62
37,53,94
38,74,20
38,8,78
38,82,23
38,84,74
38,2,33
38,77,73
38,76,92
38,27,91
39,80,64
40,70,18
41,50,65
41,55,55
42,65,11
42,73,63
43,58,17
43,49,14
43,78,24
43,99,13
43,95,8
43,46,91
43,48,71
44,69,32
44,97,54
44,92,43
44,81,90
45,59,76
46,60,15
46,64,82
46,100,19
46,93,63
46,71,22
46,79,36
46,51,65
47,66,13
47,63,40
48,68,48
48,85,89
48,75,45
49,67,35
50,26,51
50,8,26
50,92,21
50,58,29
50,91,60
50,88,60
50,90,59
51,61,20
51,57,14
51,15,20
52,79,74
52,91,38
52,65,7
52,74,74
52,68,83
52,80,76
53,2,68
53,73,25
54,99,5
54,66,25
54,98,34
54,63,9
54,67,79
55,81,46
55,82,76
55,69,35
56,84,69
56,83,96
56,61,24
56,59,47
57,15,27
57,72,77
57,18,16
57,94,30
57,87,64
58,77,14
58,64,76
58,90,57
58,24,48
58,40,100
58,70,77
59,93,26
60,5,51
60,88,45
60,19,41
60,39,81
60,75,27
60,78,84
60,100,85
61,97,80
61,96,97
61,76,20
61,85,43
62,27,49
64,71,83
64,95,83
65,86,39
65,89,91
66,71,35
66,84,15
66,83,46
66,15,82
66,41,58
66,68,71
67,93,39
67,20,78
67,92,1
67,96,34
67,27,3
67,9,58
69,49,86
69,88,67
69,18,10
69,8,98
70,85,27
70,91,87
70,77,29
71,81,58
71,95,31
71,62,94
72,89,52
72,78,74
72,73,25
73,100,22
73,98,34
73,39,71
73,45,70
73,19,30
75,5,96
75,82,24
75,76,93
76,80,78
76,99,7
76,24,49
76,97,19
77,79,99
78,4,75
78,86,39
78,94,11
78,2,42
79,63,70
80,87,28
80,26,67
80,40,61
80,74,70
80,90,95
81,95,62
81,14,7
81,63,41
81,84,81
81,90,9
82,93,28
82,92,43
83,59,21
83,62,47
83,45,15
83,74,23
84,68,46
84,98,45
85,5,90
85,15,12
85,96,56
85,8,93
86,47,26
87,39,12
87,37,23
87,89,56
87,91,11
88,29,20
88,27,67
88,20,47
89,24,88
89,19,60
89,42,62
92,30,93
93,40,67
93,26,36
93,2,4
94,100,3
94,41,30
94,49,96
94,97,65
94,18,89
95,53,51
95,4,18
95,99,56
96,42,14
96,51,79
97,100,87
97,37,34
97,49,84
97,63,14
98,55,50
98,5,7
100,74,74
100,53,39
100,64,47
